#Size	Non-Parallel	2 Threads	4 Threads	8 Threads
100	0.029		0.016		0.011		0.012
200	0.110		0.057		0.038		0.035
300	0.236		0.119		0.072		0.071
500	0.612		0.325		0.194		0.179
800	1.518		0.889		0.502		0.438
900	1.920		1.124		0.633		0.563
1000	2.395		1.436		0.938		0.684
2000	9.477		5.957		3.947		2.741
3000	22.794		13.011		8.547		6.994
5000	62.714		36.752		23.681		21.929
8000	157.082		96.202		60.584		57.108
9000	227.558		119.234		76.789		70.944
10000	244.662		153.796		97.701		85.321
